circle
unit h
skip 6
           coordinates  (B1950)  radius
ngp257  12 57 55.51  -00 56 59.2 1
ngp258  13 02 09.20  -00 56 59.2 1
ngp259  13 07 30.88  -00 56 59.2 1
ngp260  13 09 59.44  -00 56 59.2 1
ngp261  13 13 19.46  -00 56 59.2 1
ngp262  13 15 53.82  -00 56 59.2 1
ngp263  13 18 47.38  -00 56 59.2 1
ngp264  13 21 48.48  -00 56 59.2 1
ngp265  13 25 53.11  -00 56 59.2 1
ngp266  13 30 28.55  -00 56 59.2 1
ngp267  13 35 24.02  -00 56 59.2 1
ngp268  13 40 43.44  -00 56 59.2 1
ngp269  13 45 58.66  -00 56 59.2 1
ngp270  13 51 52.51  -00 56 59.2 1
ngp271  13 55 47.83  -00 56 59.2 1
ngp272  14 01 13.30  -00 56 59.2 1
ngp273  14 04 22.31  -00 56 59.2 1
ngp274  14 10 01.36  -00 56 59.2 1
ngp275  14 12 48.58  -00 56 59.2 1
ngp276  14 18 34.50  -00 56 59.2 1
ngp277  14 22 47.13  -00 56 59.2 1
ngp278  14 28 52.74  -00 56 59.2 1
ngp279  14 32 59.35  -00 56 59.2 1
ngp280  14 36 00.82  -00 56 59.2 1
ngp281  14 40 56.34  -00 56 59.2 1
ngp282  14 44 04.07  -00 56 59.2 1
ngp283  14 50 35.44  -00 56 59.2 1
ngp284  09 49 18.33  -00 56 59.2 1
ngp285  09 53 59.87  -00 56 59.2 1
ngp286  09 59 15.28  -00 56 59.2 1
ngp287  10 05 11.86  -00 56 59.2 1
ngp288  10 10 09.55  -00 56 59.2 1
ngp289  10 11 44.68  -00 56 59.2 1
ngp290  10 15 38.38  -00 56 59.2 1
ngp291  10 19 48.14  -00 56 59.2 1
ngp292  10 26 15.68  -00 56 59.2 1
ngp293  10 30 59.18  -00 56 59.2 1
ngp294  10 35 04.26  -00 56 59.2 1
ngp295  10 39 33.68  -00 56 59.2 1
ngp296  10 43 26.86  -00 56 59.2 1
ngp297  10 48 32.78  -00 56 59.2 1
ngp298  10 52 19.35  -00 56 59.2 1
ngp299  10 57 20.49  -00 56 59.2 1
ngp300  11 02 22.84  -00 56 59.2 1
ngp301  11 06 34.05  -00 56 59.2 1
ngp302  11 10 49.14  -00 56 59.2 1
ngp303  11 13 48.65  -00 56 59.2 1
ngp304  11 17 52.30  -00 56 59.2 1
ngp305  11 22 35.44  -00 56 59.2 1
ngp306  11 28 08.07  -00 56 59.2 1
ngp307  11 33 13.45  -00 56 59.2 1
ngp308  11 37 41.43  -00 56 59.2 1
ngp309  11 42 37.65  -00 56 59.2 1
ngp310  11 44 27.93  -00 56 59.2 1
ngp311  11 49 15.67  -00 56 59.2 1
ngp312  11 53 25.11  -00 56 59.2 1
ngp313  11 55 57.18  -00 56 59.2 1
ngp314  12 02 32.13  -00 56 59.2 1
ngp315  11 59 14.36  +00 24 00.8 1
ngp316  12 04 13.85  +00 24 00.8 1
ngp317  12 09 36.86  +00 24 00.8 1
ngp318  12 14 39.71  +00 24 00.8 1
ngp319  12 18 37.94  +00 24 00.8 1
ngp320  12 25 03.82  +00 24 00.8 1
ngp321  12 31 00.64  +00 24 00.8 1
ngp322  12 35 03.14  +00 24 00.8 1
ngp323  12 40 28.02  +00 24 00.8 1
ngp324  12 44 45.82  +00 24 00.8 1
ngp325  12 48 13.55  +00 24 00.8 1
ngp326  12 54 13.38  +00 24 00.8 1
ngp327  12 59 00.33  +00 24 00.8 1
ngp328  13 03 18.78  +00 24 00.8 1
ngp329  13 08 53.23  +00 24 00.8 1
ngp330  13 12 36.93  +00 24 00.8 1
ngp331  13 18 06.60  +00 24 00.8 1
ngp332  13 21 41.88  +00 24 00.8 1
ngp333  13 27 16.07  +00 24 00.8 1
ngp334  13 30 54.53  +00 24 00.8 1
ngp335  13 37 16.38  +00 24 00.8 1
ngp336  13 41 03.02  +00 24 00.8 1
ngp337  13 47 19.09  +00 24 00.8 1
ngp338  13 52 31.88  +00 24 00.8 1
ngp339  13 57 24.14  +00 24 00.8 1
ngp340  14 02 22.44  +00 24 00.8 1
ngp341  14 07 54.94  +00 24 00.8 1
ngp342  14 11 32.25  +00 24 00.8 1
ngp343  14 15 58.66  +00 24 00.8 1
ngp344  14 21 50.45  +00 24 00.8 1
ngp345  14 28 06.02  +00 24 00.8 1
ngp346  14 32 44.10  +00 24 00.8 1
ngp347  14 35 36.79  +00 24 00.8 1
ngp348  14 41 32.14  +00 24 00.8 1
ngp349  14 45 43.02  +00 24 00.8 1
ngp350  14 52 17.96  +00 24 00.8 1
ngp351  09 50 56.30  +00 24 00.8 1
ngp352  09 54 49.85  +00 24 00.8 1
ngp353  09 59 03.20  +00 24 00.8 1
ngp354  10 02 39.01  +00 24 00.8 1
ngp355  10 08 31.34  +00 24 00.8 1
ngp356  10 12 04.44  +00 24 00.8 1
ngp357  10 14 22.72  +00 24 00.8 1
ngp358  10 19 23.28  +00 24 00.8 1
ngp359  10 22 37.93  +00 24 00.8 1
ngp360  10 28 46.07  +00 24 00.8 1
ngp361  10 32 44.34  +00 24 00.8 1
ngp362  10 37 36.46  +00 24 00.8 1
ngp363  10 41 09.20  +00 24 00.8 1
ngp364  10 44 28.68  +00 24 00.8 1
ngp365  10 49 06.85  +00 24 00.8 1
ngp366  10 52 48.48  +00 24 00.8 1
ngp367  10 58 00.21  +00 24 00.8 1
ngp368  11 03 19.75  +00 24 00.8 1
ngp369  11 08 28.21  +00 24 00.8 1
ngp370  11 11 48.46  +00 24 00.8 1
ngp371  11 16 16.14  +00 24 00.8 1
ngp372  11 19 48.21  +00 24 00.8 1
ngp373  11 22 19.36  +00 24 00.8 1
ngp374  11 27 22.48  +00 24 00.8 1
ngp375  11 31 35.52  +00 24 00.8 1
ngp376  11 36 50.80  +00 24 00.8 1
ngp377  11 43 20.36  +00 24 00.8 1
ngp378  11 49 14.88  +00 24 00.8 1
ngp379  11 54 46.77  +00 24 00.8 1
ngp380  11 56 21.40  +00 24 00.8 1
ngp381  12 02 54.77  +00 24 00.8 1
ngp382  12 01 08.40  +01 45 00.8 1
ngp383  12 05 09.11  +01 45 00.8 1
ngp384  12 09 43.32  +01 45 00.8 1
ngp385  12 14 39.10  +01 45 00.8 1
ngp386  12 18 50.85  +01 45 00.8 1
ngp387  12 24 09.79  +01 45 00.8 1
ngp388  12 29 41.36  +01 45 00.8 1
ngp389  12 34 02.42  +01 45 00.8 1
ngp390  12 39 00.03  +01 45 00.8 1
ngp391  12 42 02.43  +01 45 00.8 1
ngp392  12 47 27.01  +01 45 00.8 1
ngp393  12 53 26.33  +01 45 00.8 1
ngp394  12 58 17.15  +01 45 00.8 1
ngp395  13 04 09.29  +01 45 00.8 1
ngp396  13 09 08.38  +01 45 00.8 1
ngp397  13 12 56.88  +01 45 00.8 1
ngp398  13 18 02.73  +01 45 00.8 1
ngp399  13 21 18.31  +01 45 00.8 1
ngp400  13 26 46.30  +01 45 00.8 1
ngp401  13 28 53.28  +01 45 00.8 1
ngp402  13 35 03.13  +01 45 00.8 1
ngp403  13 38 24.25  +01 45 00.8 1
ngp404  13 44 39.49  +01 45 00.8 1
ngp405  13 49 41.44  +01 45 00.8 1
ngp406  13 54 24.49  +01 45 00.8 1
ngp407  13 59 10.86  +01 45 00.8 1
ngp408  14 03 40.58  +01 45 00.8 1
ngp409  14 08 39.92  +01 45 00.8 1
ngp410  14 12 05.88  +01 45 00.8 1
ngp411  14 15 39.25  +01 45 00.8 1
ngp412  14 21 02.68  +01 45 00.8 1
ngp413  14 27 20.80  +01 45 00.8 1
ngp414  14 31 05.70  +01 45 00.8 1
ngp415  14 35 29.46  +01 45 00.8 1
ngp416  14 41 08.77  +01 45 00.8 1
ngp417  14 46 02.11  +01 45 00.8 1
ngp418  14 52 37.31  +01 45 00.8 1
ngp419  09 51 34.56  +01 45 00.8 1
ngp420  09 56 50.55  +01 45 00.8 1
ngp421  10 02 30.97  +01 45 00.8 1
ngp422  10 08 13.05  +01 45 00.8 1
ngp423  10 13 41.38  +01 45 00.8 1
ngp424  10 18 31.56  +01 45 00.8 1
ngp425  10 21 21.92  +01 45 00.8 1
ngp426  10 26 25.53  +01 45 00.8 1
ngp427  10 31 02.28  +01 45 00.8 1
ngp428  10 34 06.34  +01 45 00.8 1
ngp429  10 37 24.63  +01 45 00.8 1
ngp430  10 39 55.07  +01 45 00.8 1
ngp431  10 42 55.70  +01 45 00.8 1
ngp432  10 47 30.75  +01 45 00.8 1
ngp433  10 52 20.41  +01 45 00.8 1
ngp434  10 56 16.09  +01 45 00.8 1
ngp435  11 01 31.45  +01 45 00.8 1
ngp436  11 04 39.05  +01 45 00.8 1
ngp437  11 08 48.13  +01 45 00.8 1
ngp438  11 11 21.14  +01 45 00.8 1
ngp439  11 14 26.30  +01 45 00.8 1
ngp440  11 18 33.58  +01 45 00.8 1
ngp441  11 20 28.09  +01 45 00.8 1
ngp442  11 24 26.46  +01 45 00.8 1
ngp443  11 27 55.27  +01 45 00.8 1
ngp444  11 31 30.76  +01 45 00.8 1
ngp445  11 35 37.61  +01 45 00.8 1
ngp446  11 40 26.64  +01 45 00.8 1
ngp447  11 46 58.14  +01 45 00.8 1
ngp448  11 52 33.43  +01 45 00.8 1
ngp449  11 55 16.51  +01 45 00.8 1
ngp450  12 01 48.31  +01 45 00.8 1
